date,startup,industry,sub_industry,city,investment_type,amount_usd,amount_usd_clean,investment_type_grouped
24/11/2017,TempGo,technology,IoT and SaaS based transportation platform,goa,seed/angel funding,"2,50,000",250000.0,seed
27/11/2017,Edelweiss,finance,Diversified Financial,mumbai,private equity,"27,00,00,000",270000000.0,private_equity
27/11/2017,ERA,technology,Identity management platform,mumbai,seed/angel funding,"39,000",39000.0,seed
27/11/2017,Smaaash,technology,Virtual Reality based gaming platform,mumbai,private equity,"38,00,000",3800000.0,private_equity
28/11/2017,Chumbak,lifestyle,Designer-led consumer products,bangalore,private equity,"1,30,00,000",13000000.0,private_equity
28/11/2017,FR8,technology,Online Truck aggregator platform,chennai,debt funding,"15,00,000",1500000.0,debt
28/11/2017,MobieFit,healthcare,Health and fitness based mobile App,goa,seed/angel funding,"13,50,000",1350000.0,seed
28/11/2017,Stanza Living,technology,Student accommodation platform,delhi,private equity,"20,00,000",2000000.0,private_equity
03/10/2017,Ola Cabs,consumer internet,App based cab hailing services,bangalore,private equity,"11,00,00,000",110000000.0,private_equity
04/10/2017,CollPoll,consumer internet,Education collaboration platform,bangalore,seed funding,"3,06,000",306000.0,seed
04/10/2017,PhonePe,consumer internet,Digital Wallet,bangalore,private equity,"3,87,00,000",38700000.0,private_equity
05/10/2017,Little Black Book,consumer internet,Local Recommendations and Discoveries Platform,new delhi,private equity,"10,00,000",1000000.0,private_equity
05/10/2017,Oorjan,technology,rooftop solar platform,mumbai,seed funding,"4,50,000",450000.0,seed
05/10/2017,Zefo,ecommerce,Ecommerce Portal for Used Goods,bangalore,private equity,"92,00,000",9200000.0,private_equity
06/10/2017,Yaantra,ecommerce,Mobile repair and Refurbishment platform,new delhi,private equity,"31,00,000",3100000.0,private_equity
06/10/2017,Farm Taaza,technology,Fresh Produce SCM company,bangalore,private equity,"80,00,000",8000000.0,private_equity
06/10/2017,Drivezy,consumer internet,Self Drive car and bike rental platform,bangalore,private equity,"1,00,00,000",10000000.0,private_equity
06/10/2017,Slice Pay,consumer internet,Student Micro-financing platform,bangalore,private equity,"20,00,000",2000000.0,private_equity
09/10/2017,MyGubbi,ecommerce,Home Interior Designing Seller,bangalore,private equity,"27,00,000",2700000.0,private_equity
09/10/2017,OneStepUp,technology,Education Technology platform,new delhi,seed funding,"3,36,000",336000.0,seed
10/10/2017,Parallel Dots,technology,AI-powered deep learning solutions,gurgaon,private equity,"14,00,000",1400000.0,private_equity
10/10/2017,Easy Diner,consumer internet,online restaurant reservation platform,gurgaon,private equity,"45,00,000",4500000.0,private_equity
11/10/2017,Meesho,ecommerce,Online Reseller Network,bangalore,private equity,"31,00,000",3100000.0,private_equity
11/10/2017,StanPlus,logistics,Medical Transportation Services,hyderabad,private equity,"11,00,000",1100000.0,private_equity
12/10/2017,UCLID,technology,"Education Network for Institutions, teachers & Students",hyderabad,seed funding,"2,35,000",235000.0,seed
13/10/2017,Policy Bazaar,consumer internet,Online insurance policy aggregator,gurgaon,private equity,"7,70,00,000",77000000.0,private_equity
13/10/2017,Gapoon,consumer internet,home maintenance services platform,bangalore,seed funding,"2,50,000",250000.0,seed
13/10/2017,Chaayos,ecommerce,Online Chai ordering platform,gurgaon,private equity,"20,00,000",2000000.0,private_equity
16/10/2017,KrazyBee,consumer internet,Micro-lending platform,bangalore,private equity,"80,00,000",8000000.0,private_equity
16/10/2017,Renew Buy,consumer internet,Online Insurance Aggregator,new delhi,private equity,"92,00,000",9200000.0,private_equity
17/10/2017,Fingerlix,consumer internet,Food Ordering Portal,bangalore,private equity,"70,00,000",7000000.0,private_equity
18/10/2017,Bank Bazaar,consumer internet,Online Financial Marketplace,chennai,private equity,"70,00,000",7000000.0,private_equity
18/10/2017,BlackBuck,logistics,B2B Logistics provider,bangalore,private equity,"77,00,000",7700000.0,private_equity
18/10/2017,LenDen Club,consumer internet,Online peer-to-peer lending platform,mumbai,seed funding,"5,00,000",500000.0,seed
23/10/2017,Toppr,consumer internet,Mobile based learning app,mumbai,private equity,"70,00,000",7000000.0,private_equity
23/10/2017,RAW Pressery,food and beverage,Cold pressed Juice maker,mumbai,private equity,"60,00,000",6000000.0,private_equity
23/10/2017,Cashe,consumer internet,app-only lending platform,mumbai,debt funding,"31,00,000",3100000.0,debt
23/10/2017,Park Easy,consumer internet,Machine learning based parking discovery,kolkata,seed funding,"1,18,000",118000.0,seed
24/10/2017,FYRE,food and beverage,Herbal energy shot maker,mumbai,seed funding,"5,00,000",500000.0,seed
24/10/2017,ZipLoan,consumer internet,SME lending platform,new delhi,private equity,"30,00,000",3000000.0,private_equity
24/10/2017,Skillenza,consumer internet,Online Learning Platform,bangalore,seed funding,"7,22,000",722000.0,seed
25/10/2017,SpotDraft,consumer internet,Contract Automation,gurgaon,seed funding,"5,50,000",550000.0,seed
26/10/2017,Big Basket,ecommerce,Online Grocery portal,bangalore,private equity,"50,00,000",5000000.0,private_equity
27/10/2017,OfBusiness,technology,B2B Finance & Fulfilment Network,gurgaon,debt funding,"38,00,000",3800000.0,debt
28/10/2017,CashFree,technology,Payments Platform for Marketplaces and Fintechs,new delhi,seed funding,"1,20,000",120000.0,seed
28/10/2017,Ola Cabs,consumer internet,App based cab hailing services,bangalore,private equity,"77,00,000",7700000.0,private_equity
30/10/2017,GoldFarm,food and beverage,Agriculture Technology,coimbatore,private equity,"20,00,000",2000000.0,private_equity
31/10/2017,NetMeds,ecommerce,Online Pharmacy,chennai,private equity,"1,40,00,000",14000000.0,private_equity
31/10/2017,MSE,finance,Equity Stock Exchange,mumbai,private equity,"3,20,00,000",32000000.0,private_equity
01/09/2017,Aahaa Stores,ecommece,Online B2B store for office supplies,chennai,private equity,"10,00,000",1000000.0,private_equity
01/09/2017,MFine,consumer internet,Online Doctor Discovery platform,bangalore,private equity,"15,00,000",1500000.0,private_equity
01/09/2017,Canvera,consumer internet,Online Photography platform,mumbai,private equity,"13,00,000",1300000.0,private_equity
04/09/2017,PrimaryIO,technology,Application Performance Acceleration,pune,private equity,"56,00,000",5600000.0,private_equity
05/09/2017,Shubh Loans,consumer internet,online lending platform,bangalore,private equity,"15,00,000",1500000.0,private_equity
05/09/2017,Nest Education,technology,EduTech Platform,gurgaon,seed funding,"6,00,000",600000.0,seed
06/09/2017,Lending Kart,consumer internet,Online Lending Platform,ahmedabad,private equity,"1,07,50,000",10750000.0,private_equity
